mkdir, """Allows the user to create directories. This command can create multiple directories at once"""
cp, """Used to copy files or group of files or directory"""
scp, """Used to copy file(s) between servers in a secure way."""
gcc, """GNU Compiler Collections is used to compile mainly C and C++ language. It can also be used to compile Objective C and Objective C++"""
kill, """Used to terminate processes manually. kill command sends a signal to a process which terminates the process"""
chmod, """Used to change the access mode of a file"""
chown, """Used to change the file Owner or group"""
echo, """Used to display line of text/string that are passed as an argument"
find, """Used to find files and directories and perform subsequent operations on them"
ls, """Lists files or directories"""
rmdir, """Used to remove empty directories from the filesystem in Linux"""
mv, """Moves directories or files from one place to another"
man, """Displays user manual of any command that we can run in the terminal "
make, """Determines which pieces of a program need to be re-compiled and issues the command to recompile them"""
top, """Provides a dynamic real-time view of the running system"""
cat, """This will concatenate one or more files"""
df, """Used to display information related to file systems about total space and available space"""
exit, """Used to exit the shell where it is currently running"""
finger, """It is a user information lookup command which gives details of all the users logged in."""
cd, """Known as change directory command. It is used to change current working directory"""
rm, """Used to remove objects such as files, directories, symbolic links and so on from the file system like UNIX"""
ssh, """Protocol used to securely connect to a remote server/system"""
g++, """Used for preprocessing, compilation, assembly and linking of source code to generate an executable file"""
ps, """Used to list the currently running processes and their PIDs along with some other information depends on different options"""
who, """Used to get information about currently logged in user on to system"""
alias, """Instructs the shell to replace one string with another string while executing the commands"""
grep, """Used to search for a string of characters in a specified file"""
clear, """Used to clear the terminal screen"""
free, """Displays the total amount of free space available along with the amount of memory used and swap memory in the system, and also the buffers used by the kernel"""
